GivenName	Surname	Birthday	bloomfilter	uid
Evan	Comacho	9/7/1958	0100010011011100010001100010000000111001110101001011010000001100101100101001000000101011001101111001101111001000100101111010111100110001100000101001110101100100011100110101111001000100011100100000010001111100110100100001010010001010000001011010110101010000110000011010110111111010110101010010111000000000110001110111010110101010000010010010110000001111111101010110100010101101011000111100100101111010001101100101111101010111011000111001000010011011101111001011100100001100101010011000010110100101011101101100100010111000010110111001111100011000010001110101001110001110100011100101000101010110101001100101001001011100111001101000111001100101001010101101101000001000000010101101100111101110100010100000110110111000000110001111100100001110010101001110011111110001101100111100011110011100000111001000001000111000000101011101100000001101011011111101001101011011101110110010010011111111110100010101100010111001010000011011110110110111111111000001110110010100000100001110110001001010101100001110111001101110011110000000100110100100	24197
Benjamin	Oliver	7/22/1955	0010011111100100101110000010110010110011100010100010010010111110100011111001101110110110010001110001100000010000110010111001000001001111111110010101001111000100000110100110111100001101101001110011101111101011010000010101010100111011110001010101111100111001000001011001111010110011001100111101010101110000101110100001110000001001110111111011111100001011010001100100000001101000101100010100010110010001011000110001101110111010011101100011011000111010001110010000111000010010011100001101110100100101000000111111001101010010010111100010111100010000000011111111111011101010101100101110110110100111001111110111100111100110111011011000011011111110110000000011101011111101000101011000111100000011001010010010001000011100011110110110111111111111010111010110011100000001101110010010100001010100101111001100011001010010000101101001001010010011000110110100000010101010100100010101100111100111110001101000001011100100111001110101010101011000101101001000110001111011110001001000100001000000110011100101100001000110111001001111000001011100	40513
Rhonda	Collins	6/12/1942	1010110011100111101101001100000110011011100001011000011110000110110011110111101000110010101000000001000000100011010100011010101010111011101100110110000001101101101001001000101011100000110010111001111111001011101100001110000000010011111001111110101100110111000100101101000100010111011010000110011010010010101010010110100101101010111111101010100101111111010111110100011111101111100110010010100100101110110000100110011100000011011111110001101011111100101011100110010100111010000011110001000011010100111101100010100101110101000110101001001111010010110011010010010000001101110110011011001111100010010110000010111100101110111010011001111110010101110111000111100100001011010110001101011010100001010011001100011000000011100100110101001101010101101010011100110001101000111011110000101111001010000001111011110111000001001111110001101100000000101011100000001011100000101001010111110000010010101011001100101100110000010110111111000011110000000001110010011000011110110001011101001100111100010010000001010111000100100110011000101101001000	98290
Andrea	Her	8/19/1944	0110010001101001100101111110010000101010010000100111100000100101010111010000000111110110011101001100001100011100111100110111011010100111011010100000101011011000101001101001000110011101110110100110110111011011100100111011000110000111011011100010000011111010000000001000110101110011100010101110100100101010000100001011000101111001111101100110101000000010001011001100001000001010001101110001011101011100111000100110001000101000000110000001000100011011001001010101001010100101010011100110100011011111110011101101110100110000001010101110111011111010100010110011011011011011100101011101100000001001100000111000011100100010111010010000011110101001110010011100110101101000000001011001000010111110100001010011101001000100111110010110111101000000011101000100111100111111010100000100000001011011011111000100101101010111011001000001010101010111011101000011011011101101110001111101001011111110000001010110100000011100111000011011010001111011000110111011011011001000011011101000100101010100100100100001010101100001011011011011110000101110	72931
Cathleen	Cotton	5/1/1974	1111110100101100111001111010001111011111011101100100011111111110111101011001011111001001101101110100101101010110101110101100100101000011101001001110001101011010011101000111110000011101000000111110011101100001000001101000100110000110101011011000110000010110100110101010110111101101110011001101100111111111101101101101110110001111000111101011111011100011111111101111010100111111110100010100011110100101101001011011001100101001111100000010111001000111011011110000100101110101011111111001101000010101100111000010010100001111110011000010001111100011010110100101100111010011101110111010001001001010010000001000001001100101101100000011011111101010000011101001001110100111010010001110001010100110011010000001001011011110100100010011101111100010101110110000001000100010100110111000100011110100001111011000100101011001010101110110111001111110100010001010111011111010001111011110111110100011110011011111100001111001101101100011101011100001000010110111100110011101100011010000001101011010101001010011001010000110001000001001011001111101	19505
Anne	Quesada	2/18/1940	0110101101101000001111101011101111010011011111010011011010111100010001100110011110010101000100110001010110110010000100111000110100111100101010101001001100011110001000100100001100101011100110000011110110011110101010110101111010000000001100001110111010100100110000101010111101000110101001001000110101110001000101011110011010010101000011010011010000011010010011100101110000011001110011011100101101010101011111011101100011001100100011111000010111110001110110110001110101000111011110100111010110110011111011100001011101011100000000111110001110001100011010100001011000100001110010110100101110111100010111110100101001010111000111000110100111111101100011110011001110000111100001001101010111101100101101110111101001010110010100011010101010011100011111111010010100001010010000001100110001000110010101111100111111110100001110000100100001010111001011001010001001001001101011100001011001010110000110101000100001000111100100110100101101010011100011111011100000110110010011101000001010111001010000000011010110101001011101011110001110100111	50547
Sandra	Mintz	11/10/1947	0100110011010010110000110000100100110100111100010001000100101100111101101111000011100001000101101101010001000100111010010010101111111000100010111100101100011111110001001010000000100110100001111010010001111100000011100000111101110101001001101000100100011010101101011100100101100110110111101111011010110101010011010110000101010100000000101001101010001110110011110001010011001111100001011100001100000011110010110011000110100110010001111001101100100001110000110011000100111100101111111011000011101010111010001110011001100110001001100011000100111111100011100010000000110101010011100100110100010010011111100001111111000000011000100001001110010100001000011000001001001101010110010011000110010000000100101110101100100010000111011001000100001101001100100110111000001001010001010000010101100000001101000110001000111010100100011011010010101001011111000110010000001001001011000101000111101100110011110001110010010110010010101011010111101110000010111100000110100001010010100100011001101000010010010100111011000010101011100110111000010110	78489
Anna	Patterson	8/16/1972	1100111001010011001110111101010111101111001011101011000100101110010100100110110100110111100101010100101110111000110000011100000100011111000111101110001100010001111110010111100000001111110100101011001111111001001000000011100110000001111100100111101000001111111000011000001111101100010110001000111011101001101011010010011111001000111011011001101000101111000100101111110110111101110111100111101110000001110011001000011010100101110101000110100000100000100001110111100011101001010110011001001101111100001001101010101100010000000000111110001110010110001100001001000011110100100000100001101101011110001101011111001111001101110011100100110001110010011101101101010110000010111110001001001110110000111010010100000011000100001010010000111110111000100011010111110101110010100010110010101111001011100100001011101000011111111001100011110011100100100001010111101100011000000001100110100010000011110101010000101011110011010101001111001110101101101101101001001100101001110100011011000111011100100001010000111100110101010100001001000100101001	85583
Elizabeth	Moore	11/23/1967	0110011001000011011111101000110100001101010010101110101001000110100010010000110101101101110100010111110000010101000100111110101100100001101101101001010011011011001100111000001010101000110001000011001100111000011100110011010010100110110001000000111110011100100000011001101011110111111010000111100010010010001110010000000101010011001010110111010100100100001010000101111000001110101101001101001100001010100110000111001010111111000001010011001001111011000100101111111011011101110101011010110100000001111100101100101110110011011011000010001111001111000010111111100111100110010010110010011011000010100011100001001100101101110000110010100000011000100110001100101001000111100100010011101101011100100111111010001100100011100011000101000101000101101101011010101010100001110011001110011101100010100010000011110111111111001001110111011010100100101101000010100110111100101011001010111011000111111111001011110010111101101101100011110010100000111011100010111101101100000100100111010100001000000011011010110000001001100111110101010011011000	84129
Cheryl	Ortiz	2/23/1940	1010101101010101010101011001001000101011010000011011011001110100001000101001110111101101010001111101001101000011001101000111001010001110001101010001110010110101110010111100100111110111000001000000111010001000101100110110101100110000010010010001000101101100100001000100001000001011101000111101111010000011110011100111110011101101001110101010001100010001111100011001101111110111011101010010100010000011101010000110110010001011011001010010101110111001010101010110011100010100011010100101000000011110011000111110100011100101110000100100001010110111001101110111101111011001010110100010100010000100100101100011010001001111111111111001110101001101101011001001001111110000111110001000001011110111010010100100000011101010101010000100100101100001110100001110001110000011001010001011110110011110101011010011100100100111100100100000111101111010101111101111111001010110101111011010111010001111001111010000101101011111001010110011100000000001010000010000011100010001101001111110110000110110000111110010011111001111011111100010011111101101	91518
