GivenName	Surname	Birthday	encoded_vector	uid
Evan	Comacho	9/7/1958	00000000001000010000000000000000100000000010000000000000000010000000000000000000000000000000000100000001100000100000000000010011000000000000000000001000000000000010000000000010000000000001000000000000000000000000000000000000000000000000000000000010010010000001001000000000000000000100000000000010000000000000000000100000000000010000010000000000001000001000000000000000000000000000000000000000000000001000000000000000000000000011000010000000000000000000000000000000000000010001000010101100000000000000000000101000000000010000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000001000100000000000000000000000001000000000000000000010000010000000000000000000000110000000000000000000000001000000000000000000000000000000000010000000000000000000001000000000000100000000000001000000001000000010000000000000000000000000000000000000100010000100000000000000100110000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000010000000100000000010010000000000000000010000000010000000000000100000000000000000000000000000000000000010001000000000000000000000000100000010000000000000000000100010000000000110000000000000000000010000000000010000000000000010010000000000000000000000000000000000000000000000100000000000000010000000010000000000000000000000000000000010000000000000000000000000000000000000000000010000000001100000010000000000000001000000000000100000000011100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	24197
Benjamin	Oliver	7/22/1955	00000000001000000000000000110010000000000000000000000001000000000000000000000000000000000000000001000100010010000000000001000001110000000000000000001000000000000000000000001110000000000000000100001000000000000000000000000000000000010000000000000000010000001001000000100000010000000100010000000000000010000010000000000000000000000000000000000000000100100000100100100000000000000000100000000000000000000000000001000000000000000001000001000000000000000001000000000000000010000000000000110100000110000000000000000000000000100000000000000000001000010000000110000000000000000000000000000000000000000000000000000010000000100000100000000000000000000000000000000000100100000010001000010000000000000010000011000000000000000000000000000000000000000000001000000000010001000000000000000000001000000000000100010000000000000000000010000010000000100000100000010000001000100100000000000100000100000000000011000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000010000000000010000010000000001100000000000010010010000000000000000000000000000000000000000000000001000011000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	40513
Rhonda	Collins	6/12/1942	00000000000000010000100001000000000000100000000000000001000010000000000000000000000000000001000000000100000000000000000001000011110000000000000000001000001000000000000000000000000000000000000001000000000000000000010000000000000000000001000000000010010000000000010000100000000001100010010000000000000010000000000010000000000000000000000000000000000000000000001001000000000000000010000000000000000000000000000000010000000000000001000010000000000000000001000000000000000000000000000010100100000000000000000000000000000010000100000000000001001000000000000100000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000100000000000001010110000000000010010000000000000000000100000000001001000000000000000000000000001000010000000000000000001000010000001000100000010000000000000001010000000000000110000000000000000000000000100000000000000000100000010000010000000000000000000000000000000000000100000000000100000000010000000000010000000000000000000000000000000001000000000000001000100010000000011000010000000000000000000000000000000000000000000000001000011000000000000000000000000000000000010000000000000000000110000000000000010000000000000000000000000000010000000000001000000000000000000000010000000000000100001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000	98290
Andrea	Her	8/19/1944	00000000000000001000000000000000000000100000000000000000000010000000000000000100000000000000000000001001000000000000000000000001000000000000000000001000000000001010000000001000000000000000000000000000000000000000000000000000000000000000000000000000010010000000010000000000000000101000000000000010000010000000000011000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000100001000000000000000000000000000000000000000000000000000000100100000000001000000000100000000000000000000000000000100000010000000000000000000000000000100000000000000000010100000000000000001000000000000000010000000000000000000000000000010000000000000000100000000000000000000100000000000100000000000000000000000000000000000000000001010000000000100000000001000000001000000100000000000000000000000000000000000000100000000000000000000000000000100000000000100000000000000010000000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000010010000000000000000000000000000000000010000000010000000000100000000000000010000000000010010000000000010000000000000000000000000000000000000000000001000000000010000000010000000000000000000000000010000000000000000000000000010010010000000000010000000000000000000000000000000000000000001000000000000010000000000000000100000000001000000000000000000100000000000000000000000001000000000000000000000010000001000000000000000000000100000000010000000000000000000000000000000000000000010000000000000000000010001000100000000000000000011000000000000001000000100000000000000000100000000000000000000000000000000000000100000000000000000000010000000000000000000000000001000000000000010000000000000100000000000000000000000000000000000000000000100000000000000000001000000000000001000000000000000100000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	72931
Cathleen	Cotton	5/1/1974	00000000000000010000000000000000010000000000000000000000000010000000100000000001000000000001000000000000000010000000000000100001000000000100000000001000010000000101000000000000000000010000100000000000000010000000000000000010000000000001000000000000010000000000010000000000000000000100000000000000000000000001000010000000000000000000100000000000000000000000000001100000000010000000000100000000000100000000000000010000000000000101000010000000000000001000000000000100000000000000000010100100000000000000000000010000000000000000000000000100000010010001100100000000000000000000000000000001100111000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000010000000000000001000000100000000000000001000100000000000000000000000000100000000000000000000001001000000000000100000010000000000000001000000000000000000000000000000001000001100000000000000000000000000001000010000000000000000000000000000000000000101000000000000000000010000000000000000000000000000000000000000001000000000000000000000001000000000000000010000010000000000000001000000000000000000000000000000010000000010010000000000000000000000010000000001100100000100000000000100010000010100000000000000100000000000000000000100000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	19505
Anne	Quesada	2/18/1940	00000000100000001001000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001100000010000000000001000000001000010001000000000000000000000000000000001000000000000000001000000100000000000000000000000110010000000000100000100000000101010000000000000000010001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100100000001000100000000100000000000000000000000000001000000000000100100000000000000000000100000000010000000000000000001100000000000000000000000000010000000100000000000000000000000000011000000000000000000000000001000000000000000000000000000100000000000000000100001000000000000100100000000000000000100000000000000000000001000000000000000000000100000000100000001000001000001000100000000000000000000000000000000000000100000000000000000000000000000000100000001000000000000000010000000000101000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000001000000001010000000000010010000010000000000000000000100000000000000000000010000000000010000000000100000000000000001000000000000000000000000000010000000000010000000000000100000010010000000000010000001001000000000000000000000100000000000000000000000000000000000000000001000100000000010000000000000000000000000000000000000000000010000000000000000000000100000000100000100000000000010000001000000000000000100000100000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	50547
Sandra	Mintz	11/10/1947	00000000100000000000000000000000000000100000000000000000000000000000000000000000110000000000000000000100000010000000000001000001000101000000000010001000010010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000001000000000000000100000000000000000000010000000000010000000010000000000100000000000000000000000000000000001100000000000000000000000000000000000000100000000000000000001100001000000000000000001000000101000010000000000000000100100000000000000100000100001000000100000000000000000000000000000000000000000000000000000000000001000000010010000000000000000001001000000000000000000000000000000000000000000000000000000000110110001000000000000000100000000000000100000000000000000000000001000000000000001100000000000000000000001000000000000000110000000000010000000000010000000000000100000000000000000000000000000000000000100100000000000000010000000000000000000000000000100000100000000100000000000000010000000000000000000001000010010000000000000000000001000000000000100000000010000000010000000000100010000000000000000000000000100000001000010000000011000000000000000000000000000000000000000000000010000000000000000100000000101000000010000000010000000000000000000010000000001000010000000000000000000000000000000000000000001000000000000010000000000000000100000000000000000000000100000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	78489
Anna	Patterson	8/16/1972	00000000000000001000000000000000010000000000000001010000000000000000000000000001000000000001000000000001000000000001000000000001000000000000000000011000001001000010000000001000000000100000000000000010000010000000000000000000000000000100000000000000010010000000010100000000000000001000000000000000000100000000000010000000000000000000000000000001000000000001001000000000000011000000000000000000000000001000000001000000000000000101000000000000000000000000000000000000000000000000000000100100000000000000001000100000000000000000001000000000000000010000100000000000000000000000100100000001100000000000000001000000000000000000100000000000000000000000000000000000000000000000001000100000010100000000000100000010000000000000000000000000000000000000000000000000010000000000000000001000000000000100000100000010000000000000000000000000000000000000000000000001000001000000000000000001000010000010000011000000000101000000000000000001000000100000000100000000000000000100000000000000000100000000000000000000000000000000000000010000000000010001000110000000000000000000001000000000000000000010000000000110000000000000100000000000000000000000000000001000100000000000000010000000000000100000000000010100000010010000000000000000010000000000000000000001000000000000000000010000000100000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	85583
Elizabeth	Moore	11/23/1967	00000000000001000000000000011010000000000000000010000000000000000000000001000000000000000000100000001000010000000000000001000001010000000000000000001010010010000000001000000000000001000000000000000000000000000000000000000110000000010011000000000000010000000000000000000000000000100000010000000000000000000011000000000000010000000000100010000000100000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000011000010001000000000010000000000000000000100100100000000100000000000001000000000000000000000000101000000000000010000010000000000000000000010000000010000000000010000100000000101000000000000100000000000000000000000000000001010000000001000000000001000000000000010000000000100000000000010100000000000000001010000100100000001000000000000000000000001000001100000000000000000000000000000010000000000010000000000000000000000100000000001000000000000000010010100010000000000000000000000000000000000000000000000000000010000000000000010000010000000010000111000001000000000000000000000000000000000000000010000000000000000000000000010100000000000000000000010011000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	84129
Cheryl	Ortiz	2/23/1940	00000000000001000001000000001010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000011100000000000000010001100000000001000001100001000000000000000000000000000000000000000000000000100000000000000000000000000110000000000000000000000000000100000010000000000000010100010000000000000000000010000000000000000000000000101000000000000000000000000000000000000000000000000000001000000000000100001000000000000001000010001000000000010000001000000000000100100100100000000000000000000000100000000000000000100000001010000000000000010000000000000000000010000000000000000000000000000000000100000000000010100000000000000000000000010100000000000000000100000000000000000000000000000000100000000000000010000000000000000001000000000010000000000000000000001000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000001010000000000000100010100010000001010100000000000001000000000000000100000000000000000000000000010000000000000000000000000100000000000000000000000000000000000010000010000000000000000000000000000100000000010010000000000010000000010000000001000000000000000000000010000000100000110000000011000100000000000000000000010000000000000000000000000000000010000000000000000000000001000000000001000000000010000001010000000000010000000000000000010000000000000000000010000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	91518
