GivenName	Surname	Birthday	encoded_vector	uid
Evan	Comacho	9/7/1958	0000010001100101100010000000101110000011011100011000000011100111010010110111110000010001011101110001100001100111111000100110101011101000101001100110010111100101111001010111011111111010000111111000111110101001111110010011100010100100110100010000010101011101011001011111101010110010011110100010111101110000110100101110001001011001100011110110001110011101010011111011110101011100011011010010110100110001111010010001000001001111011100101101011010000101100110100100111001000111010111110011110100011000001101011011100000000011001001000100001001101111111111010011110110111010011110010001110111001110011001001000111110010011011011011010010110111001101001000100111111011010111111001000101000100010011001101110011010101111110010110100010000110111001000010111001100100000101101010010000111011101100100000010001011001001111110000100111000000001001101100001110111101111001001000110000100100101100110101110010101111100111011110000101100100000110001110010100101101010010101111011100101001100111101000011110111001001011101010111101111110100	24197
Benjamin	Oliver	7/22/1955	0110001000011111111011001100110000111100000110101111010001111000001111011110010010101000100010000000101100010010011111001000011001101011111100010110100001110101111000010110010001111011110000101010110000101110011110100101101010100110111011111000111001111001000111000101101010011111010010101011101100100111111110111011010110000111100111110011101010101100101111001101010000010110100010010001111101111000000110010111010010101000011100110111100101110111010011101110111111011010111001011000011010001000100100100110001101101001110110001100101001111000001101010111011010100101111100111010001011100001001110111011100010111011110010011101001110100101011110011010000111100101100011011100100011000110110100111000110110110001011011011000010100001010100110010101100011100110000111000000000110011101001010001101110011000111110011011000010000111111110001111001010011011010101100111110011110100101011110110010000011001001000011100100101100100010000001101010010111110001011110010010000101110110110101100101001000100011001010110010011001000000	40513
Rhonda	Collins	6/12/1942	1010101010101011010000110101111100000100100001001010010111110010011100100010110110111111001011010101000111010100111110110011111011001110100101011101000011000011011101011011011111011000101011100101011100101001011101011111010001100010000011110011100010011000111110000111111101101001001110000100001100111011000001111110100100100001000110010111000010010010010101110011111111011001010110010001100001000011111110010011010110000110001100011100010111001001101001100001001011111010000111010111011100010111100111101001111011111101111001001001011101110000011110110000100100011101010100101011110010110110100101000000000100100101100111011000101110011000111101110000100001010011011110100101111111001001011111000111110100001100011011001000110000000011111110101110010011100110001011100001101101001010111011100110111110101001010111110101101110111101111000100000100011010110111111110010011010101000000111001100000011011011110001000011100000110101100011010010010011010011111100101110010110100011011100000100110011110101011111101010110010001000	98290
Andrea	Her	8/19/1944	1001110111100010101101001100000101110101100001101001001001110000010011000011101001101010101011111101100111110001000101101110100011110111111110010100000010110110011110000101011100110110011000000101111111011000111100101010001100000111011011100110010110011001110000111110100100100011100011110000000101111110101101111100001000001001010011011101001010100010101011011011101000110111110010110100101011010100011011010000010000000101000101010100100001010111001001101100111111111101000000110000010101010010101111111011010101011111000010101111101100001011101001010100000010111111101000011011101001010011100001000110001101010100011111000101011000001000110001000010011000001101111110101111111010011001001000101110111000000100101111111111011000001000011011011100000001110011001010101110001101111100010100011001000011101110100100110010011010000010111101110011010101100110000001001111001000101011011011001111000100101010111001111001100110101110100110110001011110000011001111100000110111101100000001001101011101010110010101000100111010000000	72931
Cathleen	Cotton	5/1/1974	0100000110010000010110111011001000000011011010010010100110010010100010010111101111010100110001101011010011110001101011010010010101110101101101101000001110001111110111011001101100000111110110111011111011010111111100011101111000011101001010110110111110100011000101010011000010000011100100011000001000011110000100100110111001100011101001000011110000110111001101110000110110111011110110110110111101110101101100100000011111110100000011111100010010010100000000111110011001100001011001100010110000011111110011111111110011100110001100110001110111100110001111000011000001100001101000110001011110110011011101011010010111101111100100110000011100110011011001111100001100111000010111100100000000000011100001000001011000000111000000100100101100111001100010010111010111010011100010110110110000000100110001000001000111111000010001100110110101001100010001111011110100111110000101010011011011111101100001111010111011001100111100111000010001110111001100001100110100001000001010100011101011000011111101100100000010101011101000110001010010001111	19505
Anne	Quesada	2/18/1940	0110011100001001101110001100111101010011011100111011000010110001110110101101100010100111111111100111100000001010100110111101110000000001101000100001001000001010111110010000011111011100001011011011011000000111001100010001010100010011101011101000011111001111101111001111010100001110100111110110010001111110011110001101110110000111100100010001000001100101001111100001011101100110101100000000110000101100000011010011011001111111010100101111111010101010111010011000111101000111101010010111111111100111101100001110111111000001011111011011111110110101000010001111011100011000000101111111111011100011101001001001011100000010100111001010110010000111000111000110100110000001101100111010001000101110100111001010011010110101110100101110110101110011011001100011110010110100000100011001101100000011111100100101011101011001011100000100110000010110100001010110111000110001110111000101101100000011110101101000101010011100111111000111010111011001101101001011100110010001001001111100010101100111100111101101110100100000011111010100010000000101	50547
Sandra	Mintz	11/10/1947	0001010101001111010010010000011010110011110000110101110101001111110011101111011000011111100101010001110011011000001000000111000000100101010000110011110111111011000011010001101101001100101101010011100100111000011010000111010100011101111111100000000111100000111101101111111011001001010000101111100101000111101001010100001111000111101011100101111000010111110001010001001110001100000110100010101111100010001011101000111011011011001110100111011001100101000011101001011101010110101100000101100110000101010011111110010101100000000011001010001010111000101010000011001000100010111010110010101100111010111000000111001101101101011001101100101001000111010101001011111100100011010100001100011001010010100101110111011110110111111001110001111101010011000110100000011001100101110001000001010111111100101110000010101110101001011010000100010111101101100111000101010011011000110001001111011101110000101101101101110000100010111000000010010110110000011110111110000100110111010010101110101011101011010100111000001010111011100101001000001110011110	78489
Anna	Patterson	8/16/1972	1010010110010000110110110110101111100010100110001101100011010111101111001001110011000001001011100110001000101011000101001001100010110111011101111101000010001000001000110110101110010100010010100011010001111000001010011111111111101100101110010010001010101001111111111010110011011000000111010001000001101001000010111010110010101010100000100100110111010011001100000001011011111100110001100100000101110011001111110110110101111100010111011111110001000000010000011101111000001111111011010100011001010110011001100010110111000010001110010000000000110101100101110111100100011001000100100100100000000100110010001100010111111000110110000010011101001110010110011100011101011010000010110001110001000111110100001100111101001010011011110100011101001111111000100101010101101100100100000101011101101101010011011101100010110111000000110010010110111010100001100110100001011101101111011100011110110101110011001101001000111011011001001001000110101110101100111001001001010100000100000010101010111101101100000010110001000101001011101101011100010001	85583
Elizabeth	Moore	11/23/1967	0101000011001011101100000111001111001111011001110101100111101010011111010100101110010100110001001101100000101000100001000101111101101001100111011001110010110111011010100100110000101101100111100101000011010110000101011111010100001101100011011100000110010111111110010011110100000101110101100100000001011011100010110111001101010011010000010011001111000011001010010100001001100101110000101101010100011011001001010111101010010010101011110011000111110000111110000000000011010011010001001000111011000000001111111110011100100111000100010101110110101000101111011000000000000000000010010000010000010100111111010100100001000111000111100111000111100110101101010110111111000000111101011110101111011110101001000000100010100101110101000101101001001010111110111001110101100010101000010010101100000101001100011110011110111101110001110110010011100010110111110001000110110000001000001001111000111110010011101001010000101011010100001101001011000011101011100111100110100011000110100111010100100101110100101111000101101101010100001111111110101000	84129
Cheryl	Ortiz	2/23/1940	1101000100010000101101111101111101110000100110011110101111111011101000010011000011100001011011110000000111001010001011101111111100111100100011001001001110010000110000100100101000011110011110111110100110100011111010101110000011000011001010110101111100010011000010011010110010111001000000011100100100000100000001101010010010101110100011011000100000110111011100000011011000011011001111010011110111100110100110101100100101110100001100001000000100000110100000100101000111011111000101010010000110101001000100011011111000000110001111011010100100100000101011011110001111101011101010001000111010000110010110101011010011101010011101000100100010010011000001100011000010111100110010110110100010110000101111001100001001010111000101001000100000110001101111110111111011001011011110110011011011010011110011100000100101001001111000000101100100110000110110101111001100001100010000010100110010011000111100000111110001100010000101111100000010010111011010101100010001111111110101010110110000000000100010111001000010110100000100010011010010000100	91518
